Age,Gender,Region / State,Purchase Count,Total Spend,Average Order Value,Average Items Per Order,Last Purchase Days,Tenure Days,Preferred Category,Category Diversity,Preferred Channel,Session Count,Engagement Score,Campaign Engagement Score,Email Click Rate,Campaign Conversion Rate,Loyalty Score,Value Score,Purchase Frequency,Target
26.0,Female,North,10,16743.86,1765.46,4.52,9,261,Electronics,4,WhatsApp,6,65.19,59.75,0.271,0.092,57.85,24.01,1.1494,0
69.0,Male,East,1,893.12,921.01,2.22,170,429,Sports,1,Push,1,5.52,13.0,0.0,0.0,30.62,10.5,0.0699,0
30.0,Female,South,0,0.0,0.0,0.0,683,683,,0,Email,5,47.75,51.94,0.073,0.013,26.15,27.17,0.0,0
18.0,Female,South,3,6871.46,2254.82,1.73,24,479,Home,2,WhatsApp,2,25.58,24.73,0.007,0.001,39.23,29.17,0.1879,0
47.0,Male,East,3,1683.22,579.37,1.17,3,406,Electronics,2,Email,55,86.81,90.54,0.352,0.036,60.59,5.08,0.2217,0
36.0,Female,South,1,851.36,913.29,2.39,61,371,Home,1,Email,2,25.62,24.83,0.02,0.003,37.3,8.6,0.0809,0
25.0,Female,East,2,3147.53,1629.86,5.47,44,293,Electronics,2,Push,5,19.2,11.76,0.012,0.001,35.92,21.46,0.2048,0
38.0,Female,West,1,2310.8,2323.78,3.67,37,548,Home,1,SMS,0,1.77,8.87,0.001,0.0,31.62,17.0,0.0547,0
50.0,Female,South,1,3669.71,3695.52,1.0,19,542,Home,1,WhatsApp,0,30.29,26.28,0.045,0.004,38.16,20.05,0.0554,0
41.0,Male,North,1,1115.53,1152.46,3.08,13,585,Beauty,1,Email,9,61.45,42.03,0.166,0.04,46.37,12.02,0.0513,0
18.0,Female,South,7,11698.65,1737.86,4.01,11,91,Grocery,2,Email,7,81.76,74.47,0.168,0.028,57.47,28.96,2.3077,0
50.0,Female,North,3,7224.21,2612.5,10.24,23,790,Electronics,2,WhatsApp,2,34.51,35.75,0.018,0.005,39.37,27.84,0.1139,0
59.0,Female,West,2,4872.17,2485.31,1.32,13,291,Toys,2,WhatsApp,16,74.47,67.73,0.322,0.099,54.11,20.95,0.2062,0
28.0,Female,West,2,2943.11,1504.96,3.92,65,1611,Grocery,2,Email,5,44.02,54.85,0.113,0.035,44.43,30.39,0.0372,0
33.0,Female,North,2,4266.64,2302.83,2.56,30,1648,Grocery,1,Push,3,40.25,31.4,0.117,0.034,42.21,24.84,0.0364,0
32.0,Female,West,3,4371.43,1621.84,3.02,32,467,Beauty,2,Call,7,58.23,42.84,0.21,0.051,47.78,12.16,0.1927,0
38.0,Female,Central,3,3952.3,1352.54,7.67,3,478,Home,2,SMS,18,75.9,73.08,0.304,0.145,56.36,23.88,0.1883,0
18.0,Male,North,1,932.8,884.19,4.4,4,976,Electronics,1,WhatsApp,4,49.47,48.93,0.11,0.026,46.06,11.14,0.0307,0
30.0,Female,North,8,20711.32,2492.05,2.88,62,765,Grocery,2,SMS,1,22.13,26.04,0.056,0.014,41.96,29.48,0.3137,0
36.0,Male,North,1,3703.48,3787.37,2.75,16,636,Home,1,Email,8,54.69,58.28,0.184,0.061,48.51,19.72,0.0472,0
46.0,Female,North,5,4987.9,1033.04,2.65,12,381,Fashion,2,WhatsApp,5,57.15,42.2,0.158,0.018,51.52,18.45,0.3937,0
40.0,Male,Central,3,2315.66,755.65,1.59,22,448,Beauty,2,Push,5,48.49,40.34,0.07,0.018,45.32,13.58,0.2009,0
